순번,법령명,지역명,제정·개정구분,법령종류,공포번호,공포일자,시행일자,부서
115,서울특별시 강북구 사회적경제 활성화 및 지원에 관한 조례,강북구,일부개정,조례,제1362호,2019. 4. 5.,2019. 4. 5.,마을협치과
116,서울특별시 강서구 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,강서구,제정,조례,제1233호,2019. 5. 10.,2019. 5. 10.,일자리정책과
117,서울특별시 강서구 사회적경제 활성화 및 지원에 관한 조례,강서구,전부개정,조례,제1162호,2017. 11. 8.,2017. 11. 8.,일자리정책과
118,서울특별시 관악구 사회적경제 활성화 지원에 관한 조례,관악구,일부개정,조례,제1345호,2021. 4. 1.,2021. 7. 1.,일자리벤처과
119,서울특별시 광진구 사회적경제 기본 조례,광진구,제정,조례,제1014호,2018. 10. 26.,2018. 10. 26.,일자리정책과 사회적경제팀
120,서울특별시교육청 사회적경제기업 제품 구매촉진에 관한 조례,서울특별시교육청,제정,조례,제5778호,2014. 12. 30.,2014. 12. 30.,교육재정과
121,서울특별시 구로구 사회적경제 기본 조례,구로구,일부개정,조례,제1441호,2019. 11. 14.,2019. 11. 14.,일자리지원과
122,서울특별시 구로구 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,구로구,제정,조례,제1252호,2017. 5. 11.,2017. 5. 11.,일자리지원과
123,서울특별시 금천구 사회적경제 기본 조례,금천구,일부개정,조례,제980호,2018. 8. 13.,2018. 8. 13.,지역경제과
124,서울특별시 노원구 사회적경제 활성화 및 지원에 관한 조례,노원구,제정,조례,제1445호,2020. 7. 16.,2020. 7. 16.,일자리경제과
125,서울특별시 도봉구 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,도봉구,일부개정,조례,제1442호,2020. 11. 5.,2020. 11. 5.,자치마을과
126,서울특별시 도봉구 사회적경제 육성 및 지원에 관한 조례,도봉구,제정,조례,제1442호,2020. 11. 5.,2020. 11. 5.,자치마을과
127,서울특별시 동대문구 사회적경제 육성 및 지원에 관한 조례,동대문구,제정,조례,제1199호,2017. 11. 16.,2017. 11. 16.,일자리정책과
128,서울특별시 동작구 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,동작구,제정,조례,제1424호,2019. 3. 7.,2019. 3. 7.,경제진흥과
129,서울특별시 동작구 사회적경제 활성화 지원에 관한 조례,동작구,일부개정,조례,제1478호,2019. 12. 12.,2020. 1. 1.,경제진흥과
130,서울특별시 마포구 사회적경제 기본 조례,마포구,제정,조례,제1211호,2019. 3. 28.,2019. 3. 28.,일자리지원과
131,서울특별시 마포구 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,마포구,제정,조례,제975호,2014. 10. 16.,2014. 10. 16.,일자리지원과
132,서울특별시 사회적경제 기본 조례,서울특별시,타법개정,조례,제8127호,2021. 9. 30.,2021. 9. 30.,사회적경제담당관
133,서울특별시 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,서울특별시,타법개정,조례,제7044호,2019. 3. 28.,2019. 3. 28.,사회적경제담당관
134,서울특별시 서대문구 사회적경제기업제품 구매촉진 및 판로지원에 관한 조례,서대문구,제정,조례,제1089호,2015. 11. 4.,2015. 11. 4.,사회적경제과
135,서울특별시 서대문구 사회적경제 활성화 지원 조례,서대문구,일부개정,조례,제1352호,2020. 4. 16.,2020. 5. 1.,사회적경제과
136,서울특별시 서초구 사회적경제 기본 조례,서초구,제정,조례,제1350호,2021. 9. 23.,2021. 9. 23.,일자리경제과
137,서울특별시 성동구 사회적경제활성화기금 설치 및 운용 조례,성동구,일부개정,조례,제1451호,2021. 9. 16.,2021. 9. 16.,
138,서울특별시 성동구 사회적경제 활성화 지원에 관한 조례,성동구,일부개정,조례,제1322호,2019. 7. 5.,2019. 7. 5.,일자리정책과
139,서울특별시 성북구 사회적가치 실현을 위한 사회적경제 기본 조례,성북구,일부개정,조례,제1282호,2019. 11. 7.,2020. 1. 1.,주민공동체과
140,서울특별시 성북구 사회적경제제품 구매촉진 및 판로지원에 관한 조례,성북구,일부개정,조례,제1022호,2014. 12. 26.,2014. 12. 26.,사회적경제과
141,서울특별시 성북구 사회적경제제품 구매촉진 및 판로지원에 관한 조례 시행규칙,성북구,제정,규칙,제577호,2012. 10. 12.,2012. 10. 12.,사회적경제과
142,서울특별시 송파구 사회적경제 활성화 지원에 관한 조례,송파구,전부개정,조례,제1489호,2019. 7. 1.,2019. 7. 1.,일자리정책담당관
143,서울특별시 양천구 사회적경제 활성화 및 지원에 관한 조례,양천구,일부개정,조례,제1569호,2021. 4. 5.,2021. 4. 5.,일자리경제과
144,서울특별시 영등포구 사회적경제 육성 및 지원에 관한 조례,영등포구,일부개정,조례,제1187호,2017. 10. 19.,2017. 10. 19.,사회적경제과
145,서울특별시 영등포구 사회적경제 육성 및 지원에 관한 조례 시행규칙,영등포구,일부개정,규칙,제785호,2015. 12. 28.,2015. 12. 28.,사회적경제과
146,서울특별시 영등포구 사회적경제지원센터 운영 규칙,영등포구,일부개정,규칙,제801호,2021. 8. 26.,2021. 8. 26.,사회적경제과
147,서울특별시 용산구 사회적경제 육성 및 지원에 관한 조례,용산구,일부개정,조례,제1345호,2020. 5. 15.,2020. 5. 15.,일자리경제과
148,서울특별시 은평구 사회적경제 기본조례,은평구,일부개정,조례,제1314호,2019. 11. 14.,2019. 11. 14.,사회적경제과 사회적경제팀
149,서울특별시 종로구 사회적경제 활성화 및 지원에 관한 조례,종로구,제정,조례,제1172호,2016. 6. 17.,2016. 6. 17.,생활경제팀
150,서울특별시 중구 사회적경제 활성화 및 지원에 관한 조례,중구,제정,조례,제1471호,2019. 11. 8.,2019. 11. 8.,사회적경제과
151,서울특별시 중랑구 사회적경제 활성화 지원에 관한 조례,중랑구,일부개정,조례,제1443호,2021. 7. 13.,2021. 7. 13.,일자리창출과
152,서천군 사회적경제제품 구매촉진 및 판로지원에 관한 조례,서천군,일부개정,조례,제2600호,2019. 10. 21.,2019. 10. 21.,지역경제과
153,성남시 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,성남시,제정,조례,제3505호,2020. 6. 12.,2020. 6. 12.,지역경제과
154,성남시 사회적경제 활성화에 관한 조례,성남시,일부개정,조례,제3548호,2020. 12. 14.,2020. 12. 14.,지역경제과
155,성남시 사회적경제 활성화에 관한 조례 시행규칙,성남시,일부개정,규칙,제1925호,2019. 12. 2.,2019. 12. 2.,지역경제과
156,성주군 사회적경제 육성 및 지원에 관한 조례,성주군,제정,조례,제2222호,2017. 12. 14.,2017. 12. 14.,경제교통과
157,세종특별자치시교육청 사회적경제 활성화 지원 조례,세종특별자치시교육청,전부개정,조례,제1652호,2021. 4. 12.,2021. 4. 12.,교육협력과
158,세종특별자치시 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,세종특별자치시,제정,조례,제1428호,2019. 12. 16.,2019. 12. 16.,참여공동체과
159,세종특별자치시 사회적경제 육성 지원에 관한 조례,세종특별자치시,일부개정,조례,제1714호,2021. 7. 15.,2021. 7. 15.,참여공동체과
160,세종특별자치시 사회적경제 육성 지원에 관한 조례 시행규칙,세종특별자치시,전부개정,규칙,제199호,2017. 9. 29.,2017. 9. 29.,참여공동체과
161,수원시 사회적경제 육성지원에 관한 조례,수원시,일부개정,조례,제4236호,2021. 11. 5.,2021. 11. 5.,사회적경제팀
162,순천시 사회적경제 활성화 조례,순천시,일부개정,조례,제2214호,2020. 12. 31.,2020. 12. 31.,지역경제과
163,시흥시 사회적경제 육성 및 지원에 관한 조례,시흥시,일부개정,조례,제1939호,2020. 7. 16.,2020. 7. 16.,일자리총괄과
164,신안군 사회적경제 육성 및 지원에 관한 조례,신안군,일부개정,조례,제2427호,2021. 11. 16.,2021. 11. 16.,
165,아산시 사회적경제 육성 및 지원에 관한 조례,아산시,전부개정,조례,제1975호,2020. 5. 14.,2020. 5. 14.,사회적경제과
166,아산시 사회적경제제품 구매촉진 및 판로지원에 관한 조례,아산시,일부개정,조례,제1742호,2018. 3. 15.,2018. 3. 15.,사회적경제과
167,안동시 사회적경제활동 지원 조례,안동시,일부개정,조례,제1282호,2017. 11. 17.,2017. 11. 17.,일자리경제과
168,안산시 사회적경제 육성 지원에 관한 조례,안산시,일부개정,조례,제2413호,2020. 10. 7.,2020. 10. 7.,
169,안성시 사회적경제 육성 지원에 관한 조례,안성시,일부개정,조례,제1742호,2021. 7. 9.,2021. 7. 9.,일자리경제과
170,안양시 사회적경제 육성 지원에 관한 조례,안양시,일부개정,조례,제3256호,2020. 11. 13.,2020. 11. 13.,일자리정책과
171,양산시 사회적경제 활성화 및 지원에 관한 조례,양산시,일부개정,조례,제1799호,2021. 12. 16.,2021. 12. 16.,일자리경제과(사회적경제팀)
172,양양군 사회적경제 육성 및 지원에 관한 조례,양양군,제정,조례,제2566호,2018. 10. 1.,2018. 10. 1.,경제에너지과
173,양주시 사회적경제 육성 및 지원에 관한 조례,양주시,제정,조례,제810호,2015. 12. 31.,2015. 12. 31.,일자리정책과
174,양평군 사회적경제 육성 및 지원 조례,양평군,일부개정,조례,제2854호,2021. 9. 27.,2021. 9. 27.,일자리경제과
175,여수시 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,여수시,제정,조례,제1696호,2021. 12. 31.,2021. 12. 31.,
176,여수시 사회적경제 육성과 지원에 관한 조례,여수시,일부개정,조례,제1696호,2021. 12. 31.,2021. 12. 31.,
177,여주시 사회적경제기업 제품 구매촉진 및 판로 지원 조례,여주시,제정,조례,제869호,2020. 9. 29.,2020. 9. 29.,일자리경제과
178,여주시 사회적경제 육성 및 지원에 관한 조례,여주시,일부개정,조례,제769호,2019. 11. 8.,2019. 11. 8.,일자리경제과
